chapter,module_id,major_issues,minor_issues
ALG-EXP-2,class8_math_ch8_concept_3,Master data's 'ಸಂಬಂಧ' (relation) content is missing from 'exam_intelligence.connects_to'.,"The 'common_trap' field in worked examples is empty. | The 'calculation' details from master data steps are merged into the 'action' field, which could be separated for better clarity."
ALG-EXP-2,class8_math_ch8_concept_1,"Detailed calculation steps (e.g., column addition/subtraction, individual term calculations) provided in the master data's ""calculation"" field are missing from the module's ""worked_examples"" steps. This hinders understanding of the solution process.",
ALG-FAC-2,class8_math_ch12_concept_1,"Worked example steps are missing the 'expression' field, which is crucial for mathematical problem-solving clarity. | The detailed examples from the 'Analysis' section (e.g., 30 = 2 × 3 × 5, 5xy = 5 × x × y) are not explicitly presented or detailed in the theory section, reducing clarity. | The 'Relation' section from the master data is not included in the module.","The 'common_trap' field in 'worked_examples' is empty, while the content is duplicated in 'exam_intelligence.common_mistakes'. It should either be populated or removed from 'worked_examples'."
ALG-FAC-2,class8_math_ch12_concept_4,"The 'ವಿಶ್ಲೇಷಣೆ' (Analysis) section, which explains how to identify different types of algebraic expressions (Perfect Square Trinomial, Difference of Two Squares, General Trinomial) for applying specific identities, is missing from the module.","In some worked example steps, the 'expression' field from master data is merged into the 'action' field, and the corresponding 'justification' is left empty, slightly reducing step-by-step clarity."
ALG-FAC-2,class8_math_ch12_concept_5,"The 'expression' field, which provides the mathematical representation for each step in worked examples, is consistently missing across all examples.",
ALG-POL-3,class10_math_ch2_concept_5,"The 'worked_examples' steps combine the 'action' and 'calculation' from the master data into a single 'action' field, deviating from the master data's explicit separation of these fields.","The 'mcq_note' in 'exam_intelligence' combines multiple distinct MCQ possibilities into a single string, which could be better separated for clarity or parsing. | The 'common_trap' field in 'worked_examples' is null even though 'common_mistakes' is populated in 'exam_intelligence'. Consider if example-specific traps should be included."
ALG-POL-3,class10_math_ch2_concept_2,The relation to the Factor Theorem (ಅಪವರ್ತನ ಪ್ರಮೇಯ) mentioned in the master data's 'ಸಂಬಂಧ' section is missing from the module.,
ALG-QUAD-4,class10_math_ch4_concept_1,,Example steps do not separate 'calculation' from 'justification' as in master data; calculation content is merged into justification.
DATA-BAS-1,class7_math_ch3_concept_4,The 'Analysis' (ವಿಶ್ಲೇಷಣೆ) section explaining 'When to use which measure' is missing.,
DATA-BAS-1,class8_math_ch4_concept_4,The 'analysis' (ವಿಶ್ಲೇಷಣೆ) block from the master data is missing.,The 'relation' (ಸಂಬಂಧ) block from the master data is missing.
DATA-BAS-1,class7_math_ch4_concept_2,The 'ಸಂಬಂಧ' (Relation) pedagogical block from master data is completely missing.,
DATA-GRAPH-2,class8_math_ch13_concept_4,,Diagram JSON is stringified within the 'label' field of 'visual_aids' instead of being a proper JSON object or referenced correctly.
GEO-CIR-2,class10_math_ch10_concept_4,Required diagram for cyclic quadrilateral is missing (master data explicitly states 'cannot_be_expressed_in_text: true'),
GEO-EUC-2,class9_math_ch5_concept_4,"The worked example 'ಸಮಬಾಹು ತ್ರಿಭುಜದ ರಚನೆ' (Construction of an Equilateral Triangle) describes a geometric construction. A visual aid (diagram) is essential for understanding the steps of a construction, but it is missing from the module.","The 'proof_sketch' for Theorem 5.1 in the module concatenates all steps into a single string, whereas the master data presents them as distinct, numbered points. This reduces readability and clarity of the proof's logical flow."
GEO-LA-1,class7_math_ch2_concept_3,"The pedagogical 'analysis' block from master data is not explicitly present in the module. | The pedagogical 'ಸಂಬಂಧ' (relation) block from master data, explaining the basis for related angles, is not explicitly present in the module.",The specific detail 'ಒಂದು ಸರಳ ಕೋನವು ಎರಡು ಲಂಬ ಕೋನಗಳಿಗೆ ಸಮವಾಗಿರುತ್ತದೆ' from the analysis block is missing from the concept summary or definitions.
GEO-LA-2,class9_math_ch6_concept_3,"Module is missing visual aids/diagrams which are implicitly required by the master data's use of angle labels (e.g., ∠1, ∠5) in angle descriptions.","The 'properties' field in the module is a list of strings, losing the structured 'name' and 'description' format from the master data."
GEO-LA-2,class9_math_ch6_concept_2,Missing LaTeX representation for steps in all worked examples.,
GEO-LA-2,class9_math_ch6_concept_4,"Worked examples 4 and 6 explicitly refer to a 'ಚಿತ್ರದಲ್ಲಿ' (figure) which is missing from the module's visual_aids, making the examples incomplete and difficult to follow.",
GEO-QUAD-2,class9_math_ch8_concept_1,Missing required diagram for parallelogram properties as specified in master data.,
GEO-QUAD-2,class9_math_ch8_concept_3,"The 'Analysis' (ವಿಶ್ಲೇಷಣೆ) block from master data is missing. | The 'Relation' (ಸಂಬಂಧ) block from master data is missing. | The required diagram (visual_aids) content is missing, despite being marked as 'cannot_be_expressed_in_text' in master data.",The 'common_trap' from Example 6 is not included in the module's 'common_mistakes'. | The 'common_trap' from Example 7 is not included in the module's 'common_mistakes'.
GEO-TRI-1,class7_math_ch6_concept_1,"The 'relationship' block from master data, which explains how this concept forms a foundation for advanced topics (ತ್ರಿಭುಜದ ಮಧ್ಯರೇಖೆ, ಎತ್ತರ, ಕೋನಗಳ ಮೊತ್ತ ಮತ್ತು ಪೈಥಾಗೊರಸ್ ಪ್ರಮೇಯ), is missing.",
GEO-TRI-1,class7_math_ch6_concept_3,"Required visual aids for different types of triangles (acute, right, obtuse) and their altitudes are missing, as strongly implied by the 'educational_perspective' in master data for pedagogical clarity.",
GEO-TRI-1,class7_math_ch6_concept_4,Missing required diagram for the proof sketch as indicated by 'cannot_be_expressed_in_text: true' in master data.,
GEO-TRI-2,class10_math_ch6_concept_4,,"The 'common_error' field is redundantly present in each theorem object, duplicating the content found in 'exam_intelligence.common_mistakes'. It should ideally be unique per theorem or removed from the theorem object if it's a general trap. | The 'common_trap' field within the worked example is empty."
GEO-TRI-2,class10_math_ch6_concept_1,"The pedagogical explanation from the `[ವಿಶ್ಲೇಷಣೆ]` section, which clarifies that congruence can be established using specific criteria (axioms/theorems) rather than comparing all six corresponding parts, is missing. | The relational statement from the `[ಸಂಬಂಧ]` section, which highlights that this concept forms the foundation for congruence criteria (SAS, ASA, SSS, RHS), is missing.",
MEN-HER-3,class9_math_ch10_concept_1,Missing 'ವಿಶ್ಲೇಷಣೆ' (analysis) section from master data. | Missing 'ಸಂಬಂಧ' (relation) section from master data. | Missing required diagram for the concept.,
MEN-MEN-2,class8_math_ch9_concept_1,"The required visual aid (ಚಿತ್ರ 9.7) for example 2 is missing, making the problem difficult to understand without context. | The pedagogical 'ವಿಶ್ಲೇಷಣೆ' (analysis) block from the master data, which explains the technique's power and practical applications, is not fully incorporated. | The 'ಸಂಬಂಧ' (relation) block, which contextualizes the concept by linking it to prior and future learning, is entirely missing.","The 'derived_from' and 'exception' details for formulas are present in the master data but are null in the module, leading to a loss of explanatory detail."
MEN-VOL-3,class10_math_ch12_concept_2,"The required diagram for the worked example 'class10_math_ch12_example_6' is missing, which is explicitly mentioned in the problem statement.",The 'ಸಂಬಂಧ' (Relation) pedagogical block from master data is missing.
MEN-VOL-3,class9_math_ch11_concept_2,"Worked example 'class9_math_ch11_example_5' is missing calculation steps in the module JSON. | The 'ಸಂಬಂಧ' (Relation) section from master data, which explains the application of these concepts to compound solids, is entirely missing from the module.",
MEN-VOL-3,class9_math_ch11_concept_1,"The pedagogical analysis block (ವಿಶ್ಲೇಷಣೆ) from master data is not explicitly present in the module, leading to a loss of contextual understanding. | The ಸಂಬಂಧ block, which highlights the relationship between cone and cylinder volumes, is not explicitly present as a separate pedagogical point, reducing emphasis on this key connection.",
NS-CUBE-2,class8_math_ch6_concept_2,,"The 'ಸಂಬಂಧ' (relation) information from the master data, specifically the connection to 'ಅಂಕಗಣಿತದ ಶ್ರೇಢಿಗಳ (Arithmetic Progressions) ಪರಿಕಲ್ಪನೆ', is missing from the `exam_intelligence.connects_to` field. | The `prerequisites` field includes `class8_math_ch6_concept_1`, which is not explicitly derived from the provided master data for this concept."
NS-CUBE-2,class8_math_ch6_concept_3,"The explicit step-by-step method (ವಿಧಾನ) for checking if a number is a perfect cube is missing from the module. | The 'Analysis' (ವಿಶ್ಲೇಷಣೆ) block, which provides important context and pedagogical insights, is missing.","The detailed intermediate calculation steps for prime factorization (e.g., 216 = 2 × 108 = ...) are omitted in the worked example's first step, which were present in the master data's 'calculation' field."
NS-CUBE-2,class8_math_ch6_concept_4,,"In worked example 3, step 1, the intermediate prime factorization steps are omitted, which were present in the master data. | In worked example 3, step 2, the justification is generalized instead of providing the specific explanation from the master data, which would be more helpful for the student. | In worked example 4, step 1, the intermediate prime factorization steps are omitted, which were present in the master data. | In worked example 4, step 2, the justification is generalized instead of providing the specific explanation from the master data, which would be more helpful for the student."
NS-CUBE-2,class8_math_ch6_concept_1,,"The explicit formula n³ = n × n × n is missing from the definition of 'ಘನ'. | The specific sums for Hardy-Ramanujan number (1729 = 1³ + 12³ = 9³ + 10³) are missing from the concept summary. | The statement 'ಈ ಅವಧಾರಣೆಯು ವರ್ಗ ಸಂಖ್ಯೆಗಳ ಪರಿಕಲ್ಪನೆಯ ವಿಸ್ತರಣೆಯಾಗಿದೆ' is missing. | The statement 'ಘನ ಸಂಖ್ಯೆಗಳ ಗುಣಲಕ್ಷಣಗಳು, ಮುಂದಿನ ಅವಧಾರಣೆಯಾದ ಅವಿಭಾಜ್ಯ ಅಪವರ್ತನೀಕರಣದ ಮೂಲಕ ಪೂರ್ಣ ಘನಗಳನ್ನು ಗುರುತಿಸಲು ಅಡಿಪಾಯವನ್ನು ಒದಗಿಸುತ್ತದೆ' is missing."
NS-FRA-1,class7_math_ch2_concept_1,"The 'Analysis' (ವಿಶ್ಲೇಷಣೆ) block, which provides pedagogical context, is missing from the module.","The 'calculation' field is missing from the steps of the worked example, which omits explicit calculation details. | The 'ಸಂಬಂಧ' (Relationship) block, explaining the conceptual connections, is not fully captured in the module."
NS-FRA-1,class7_math_ch2_concept_5,Worked example steps are missing 'calculation' details for all steps.,
NS-FRA-1,class7_math_ch2_concept_6,The definition of 'ಭಿನ್ನರಾಶಿಗಳ ಗುಣಾಕಾರ' in the module's 'definitions' array is incomplete. It misses the explanation of 'ರ' (of) as an operator and its example ('20 ರ 1/4 ಎಂದರೆ 1/4 × 20') which is present in the master data's definition.,The 'justification' field for the 'Product of Fractions' formula is missing from the module's formula object. This explanatory content is present in the master data.
NS-INT-1,class7_math_ch1_concept_4,"The 'calculation' field is missing from all steps within the 'worked_examples', which was present in the master data and provides crucial numerical context. | The illustrative examples for each multiplication rule (e.g., '5 × 3 = 15') are missing from the 'theory.properties' section, which were present in the master data.","The 'common trap' information is duplicated in 'worked_examples[0].common_trap' and 'exam_intelligence.common_mistakes'. | The 'exam_intelligence.connects_to' field is an addition not explicitly present in the master data's 'ಶೈಕ್ಷಣಿಕ_ದೃಷ್ಟಿಕೋನ'. | The justification for step 2 in the example could be more explicit about the paise conversion, similar to the master data."
NS-INT-1,class7_math_ch1_concept_2,"The 'Analysis' (ವಿಶ್ಲೇಷಣೆ) block, which explains the concept using a number line and the inverse relationship of operations, is missing from the module.","The 'calculation' field for each step in the worked example is missing, which reduces clarity for students."
NS-INT-1,class7_math_ch1_concept_5,"The 'calculation' field is missing from all steps of the worked example, which is crucial for demonstrating the mathematical operations.",
NS-PRI-1,class6_math_ch5_concept_1,Required Venn diagram (visual_aid) is missing from the module.,
NS-RAT-2,class8_math_ch8_concept_2,The pedagogical 'analysis' block from master data is missing.,
NS-SQR-2,class8_math_ch5_concept_3,The explicit definition from master data is missing from the 'definitions' array. | The 'ಸಂಬಂಧ' (relation) block from master data is missing.,
NS-SQR-2,class8_math_ch5_concept_2,"The content from the 'ಸಂಬಂಧ' (Relationship) block in the master data, which explains how these properties help in estimating and verifying square roots, is missing from the module.","Illustrative examples for the 'Number of Zeros Property' (e.g., 10²=100, 300²=90000, 150, 4000) are missing from the properties list in the module."
NS-SYS-3,class9_math_ch1_concept_5,,"Worked example steps: 'action' and 'calculation' from master data are merged into a single 'action' field in the module, deviating from master data structure. | Redundant content: 'common_trap' is present in both 'worked_examples' and 'exam_intelligence.common_mistakes'. | Added 'gpstr_weightage' without explicit source in master data."
NS-SYS-3,class9_math_ch1_concept_3,,Added 'difficulty' field to worked example without master data source. | Added 'prerequisites' field without master data source. | Added 'gpstr_weightage' field without master data source. | Missed the 'note' from the master data's Diagram JSON regarding a potential textbook error in diagram construction.
NS-SYS-3,class9_math_ch1_concept_7,The explicit mathematical definition `a^(m/n) = (ⁿ√a)ᵐ = ⁿ√(aᵐ)` is missing from the `theory.definitions` array.,The `concept_summary` could be more precise by explicitly stating both forms `(ⁿ√a)ᵐ` and `ⁿ√(aᵐ)` for `a^(m/n)`.
NS-SYS-3,class9_math_ch1_concept_6,"Worked example 'class9_math_ch1_example_19' is missing the detailed 'calculation' field for each step, which is crucial for understanding the problem-solving process and is present in the master data.",The module's concept summary slightly rephrases and less directly states the pedagogical benefit of rationalizing the denominator (helping to locate numbers on a number line and simplify calculations) compared to the master data's definition.
RPP-COMP-1,class8_math_ch7_concept_7,"Worked example steps are missing the 'calculation' field, which was present in the master data and is crucial for demonstrating the mathematical process.",Redundancy: 'common_trap' is present in both 'worked_examples' and 'exam_intelligence.common_mistakes'.
RPP-COMP-1,class8_math_ch7_concept_6,The 'ವಿಶ್ಲೇಷಣೆ' (Analysis) block from master data is missing.,
VIS-CON-1,class6_math_ch8_concept_4,"Master data's 'Analysis' section is not fully incorporated into 'concept_summary'. | Master data's 'Relation' section is completely missing from the module (e.g., 'connects_to' is empty).",
VIS-CON-1,class6_math_ch8_concept_2,"The 'ವಿಶ್ಲೇಷಣೆ' (Analysis) block from master data is absent as a distinct section, although its content is integrated into the concept_summary.",
VIS-SOLID-2,class7_math_ch13_concept_1,The 'ಸಂಬಂಧ' section from master data is not captured in `exam_intelligence.connects_to`.,
VIS-SOLID-2,class7_math_ch13_concept_2,"Missing visual aids crucial for understanding 'Nets for Solid Shapes', as implied by master data's MCQ examples. | Missing the full content of the pedagogical `[ವಿಶ್ಲೇಷಣೆ]` block, specifically the practical application of packaging design. | Missing the `[ಸಂಬಂಧ]` block, which explains the prerequisite knowledge for this concept. | Missing the implied worked example for constructing nets of a cylinder or cone, as suggested in the `[ಶೈಕ್ಷಣಿಕ_ದೃಷ್ಟಿಕೋನ]`.",
